item_id,name
25,Worn Shortsword
35,Bent Staff
36,Worn Mace
37,Worn Axe
38,Recruit's Shirt
40,Recruit's Boots
43,Squire's Boots
44,Squire's Pants
45,Squire's Shirt
51,Neophyte's Boots
52,Neophyte's Pants
53,Neophyte's Shirt
55,Apprentice's Boots
59,Acolyte's Shoes
85,Dirty Leather Vest
117,Tough Jerky
118,Minor Healing Potion
120,Thug Pants
121,Thug Boots
127,Trapper's Shirt
139,Brawler's Pants
140,Brawler's Boots
153,Primitive Kilt
154,Primitive Mantle
159,Refreshing Spring Water
193,Tattered Cloth Vest
194,Tattered Cloth Pants
195,Tattered Cloth Boots
200,Thick Cloth Vest
209,Dirty Leather Pants
210,Dirty Leather Boots
239,Cured Leather Gloves
285,Scalemail Vest
286,Scalemail Pants
414,Dalaran Sharp
422,Dwarven Mild
647,Destiny
711,Tattered Cloth Gloves
714,Dirty Leather Gloves
720,Brawler Gloves
723,Goretusk Liver
727,Notched Shortsword
728,Recipe: Westfall Stew
729,Stringy Vulture Meat
730,Murloc Eye
731,Goretusk Snout
732,Okra
753,Dragonmaw Shortsword
754,Shortsword of Vengeance
756,Tunnel Pick
765,Silverleaf
766,Flanged Mace
767,Long Bo Staff
768,Lumberjack Axe
769,Chunk of Boar Meat
770,Pointy Crocolisk Tooth
771,Chipped Boar Tusk
774,Malachite
776,Vendetta
783,Light Hide
785,Mageroyal
787,Slitherskin Mackerel
789,Stout Battlehammer
790,Forester's Axe
791,Gnarled Ash Staff
793,Knitted Gloves
796,Rough Leather Boots
804,Large Blue Sack
805,Small Red Pouch
809,Bloodrazor
810,Hammer of the Northern Wind
811,Axe of the Deep Woods
812,Glowing Brightwood Staff
814,Flask of Oil
818,Tigerseye
827,Wicked Blackjack
828,Small Blue Pouch
832,Silver Defias Belt
833,Lifestone
837,Heavy Weave Armor
838,Heavy Weave Pants
839,Heavy Weave Gloves
840,Heavy Weave Shoes
843,Tanned Leather Boots
844,Tanned Leather Gloves
845,Tanned Leather Pants
846,Tanned Leather Jerkin
847,Chainmail Armor
851,Cutlass
852,Mace
853,Hatchet
854,Quarter Staff
856,Blue Leather Bag
857,Large Red Sack
858,Lesser Healing Potion
863,Gloom Reaper
864,Knightly Longsword
865,Leaden Mace
866,Monk's Staff
867,Gloves of Holy Might
868,Ardent Custodian
869,Dazzling Longsword
870,Fiery War Axe
871,Flurry Axe
873,Staff of Jordan
878,Fist-sized Spinneret
880,Staff of Horrors
890,Twisted Chanter's Staff
892,Gnoll Casting Gloves
897,Madwolf Bracers
899,Venom Web Fang
920,Wicked Spiked Mace
926,Battle Axe
929,Healing Potion
932,Fel Steed Saddlebags
934,Stalvan's Reaper
935,Night Watch Shortsword
936,Midnight Mace
937,Black Duskwood Staff
940,Robes of Insight
942,Freezing Band
943,Warden Staff
944,Elemental Mage Staff
954,Scroll of Strength
955,Scroll of Intellect
1015,Lean Wolf Flank
1074,Hard Spider Leg Tip
1076,Defias Renegade Ring
1077,Defias Mage Ring
1080,Tough Condor Meat
1081,Crisp Spider Meat
1121,Feet of the Lynx
1168,Skullflame Shield
1169,Blackskull Shield
1177,Oil of Olaf
1179,Ice Cold Milk
1180,Scroll of Stamina
1181,Scroll of Spirit
1194,Bastard Sword
1196,Tabar
1197,Giant Mace
1198,Claymore
1200,Large Wooden Shield
1202,Wall Shield
1203,Aegis of Stormwind
1204,The Green Tower
1205,Melon Juice
1206,Moss Agate
1207,Murphstar
1210,Shadowgem
1251,Linen Bandage
1263,Brain Hacker
1265,Scorpion Sting
1274,Hops
1280,Cloaked Hood
1288,Large Venom Sac
1296,Blackrock Mace
1297,Robes of the Shadowcaster
1314,Ghoul Fingers
1315,Lei of Lilies
1318,Night Reaver
1355,Buckskin Cape
1357,Captain Sander's Treasure Map
1364,Ragged Leather Vest
1366,Ragged Leather Pants
1367,Ragged Leather Boots
1368,Ragged Leather Gloves
1369,Ragged Leather Belt
1370,Ragged Leather Bracers
1372,Ragged Cloak
1374,Frayed Shoes
1376,Frayed Cloak
1377,Frayed Gloves
1378,Frayed Pants
1380,Frayed Robe
1384,Dull Blade
1388,Crooked Staff
1395,Apprentice's Pants
1396,Acolyte's Pants
1399,Magic Candle
1401,Green Tea Leaf
1411,Withered Staff
1412,Crude Bastard Sword
1413,Feeble Sword
1414,Cracked Sledge
1415,Carpenter's Mallet
1416,Rusty Hatchet
1417,Beaten Battle Axe
1418,Worn Leather Belt
1419,Worn Leather Boots
1420,Worn Leather Bracers
1421,Worn Hide Cloak
1422,Worn Leather Gloves
1423,Worn Leather Pants
1425,Worn Leather Vest
1427,Patchwork Shoes
1429,Patchwork Cloak
1430,Patchwork Gloves
1431,Patchwork Pants
1433,Patchwork Armor
1438,Warrior's Shield
1443,Jeweled Amulet of Cainwyn
1447,Ring of Saviors
1448,Blackrock Gauntlets
1455,Blackrock Champion's Axe
1458,Shadowhide Maul
1464,Buzzard Talon
1465,Tigerbane
1468,Murloc Fin
1470,Murloc Skin Bag
1475,Small Venom Sac
1477,Scroll of Agility II
1478,Scroll of Protection II
1481,Grimclaw
1482,Shadowfang
1483,Face Smasher
1484,Witching Stave
1485,Pitchfork
1486,Tree Bark Jacket
1488,Avenger's Armor
1489,Gloomshroud Armor
1491,Ring of Precision
1493,Heavy Marauder Scimitar
1495,Calico Shoes
1497,Calico Cloak
1498,Calico Gloves
1499,Calico Pants
1501,Calico Tunic
1502,Warped Leather Belt
1503,Warped Leather Boots
1504,Warped Leather Bracers
1505,Warped Cloak
1506,Warped Leather Gloves
1507,Warped Leather Pants
1509,Warped Leather Vest
1510,Heavy Hammer
1511,Commoner's Sword
1512,Crude Battle Axe
1513,Old Greatsword
1514,Rusty Warhammer
1515,Rough Wooden Staff
1516,Worn Hatchet
1520,Troll Sweat
1521,Lumbering Ogre Axe
1522,Headhunting Spear
1523,Huge Stone Club
1529,Jade
1539,Gnarled Hermit's Staff
1602,Sickle Axe
1604,Chromatic Sword
1607,Soulkeeper
1608,Skullcrusher Mace
1613,Spiritchaser Staff
1624,Skullsplitter Helm
1625,Exquisite Flamberge
1630,Broken Electro-lantern
1639,Grinning Axe
1640,Monstrous War Axe
1645,Moonberry Juice
1652,Sturdy Lunchbox
1659,Engineering Gloves
1664,Spellforce Rod
1677,Drake-scale Vest
1678,Black Ogre Kickers
1679,Korg Bat
1685,Troll-hide Bag
1686,Bristly Whisker
1687,Retractable Claw
1688,Long Soft Tail
1696,Curved Raptor Talon
1701,Curved Basilisk Claw
1702,Intact Basilisk Spine
1703,Crystal Basilisk Spine
1705,Lesser Moonstone
1707,Stormwind Brie
1708,Sweet Nectar
1710,Greater Healing Potion
1711,Scroll of Stamina II
1712,Scroll of Spirit II
1713,Ankh of Life
1714,Necklace of Calisea
1715,Polished Jazeraint Armor
1716,Robe of the Magi
1717,Double Link Tunic
1718,Basilisk Hide Pants
1720,Tanglewood Staff
1721,Viking Warhammer
1722,Thornstone Sledgehammer
1725,Large Knapsack
1726,Poison-tipped Bone Spear
1727,Sword of Decay
1728,Teebu's Blazing Longsword
1730,Worn Mail Belt
1731,Worn Mail Boots
1732,Worn Mail Bracers
1733,Worn Cloak
1734,Worn Mail Gloves
1735,Worn Mail Pants
1737,Worn Mail Vest
1738,Laced Mail Belt
1739,Laced Mail Boots
1740,Laced Mail Bracers
1741,Laced Cloak
1742,Laced Mail Gloves
1743,Laced Mail Pants
1744,Laced Mail Shoulderpads
1745,Laced Mail Vest
1746,Linked Chain Belt
1747,Linked Chain Boots
1749,Linked Chain Cloak
1750,Linked Chain Gloves
1751,Linked Chain Pants
1752,Linked Chain Shoulderpads
1753,Linked Chain Vest
1754,Reinforced Chain Belt
1755,Reinforced Chain Boots
1756,Reinforced Chain Bracers
1757,Reinforced Chain Cloak
1759,Reinforced Chain Pants
1760,Reinforced Chain Shoulderpads
1761,Reinforced Chain Vest
1764,Canvas Shoes
1766,Canvas Cloak
1767,Canvas Gloves
1768,Canvas Pants
1769,Canvas Shoulderpads
1770,Canvas Vest
1772,Brocade Shoes
1774,Brocade Cloak
1775,Brocade Gloves
1776,Brocade Pants
1777,Brocade Shoulderpads
1778,Brocade Vest
1780,Cross-stitched Sandals
1782,Cross-stitched Cloak
1783,Cross-stitched Gloves
1784,Cross-stitched Pants
1785,Cross-stitched Shoulderpads
1786,Cross-stitched Vest
1787,Patched Leather Belt
1788,Patched Leather Boots
1789,Patched Leather Bracers
1790,Patched Cloak
1791,Patched Leather Gloves
1792,Patched Leather Pants
1793,Patched Leather Shoulderpads
1794,Patched Leather Jerkin
1795,Rawhide Belt
1796,Rawhide Boots
1797,Rawhide Bracers
1799,Rawhide Gloves
1800,Rawhide Pants
1801,Rawhide Shoulderpads
1802,Rawhide Tunic
1803,Tough Leather Belt
1804,Tough Leather Boots
1805,Tough Leather Bracers
1806,Tough Cloak
1807,Tough Leather Gloves
1808,Tough Leather Pants
1809,Tough Leather Shoulderpads
1810,Tough Leather Armor
1811,Blunt Claymore
1812,Short-handled Battle Axe
1813,Chipped Quarterstaff
1814,Battered Mallet
1815,Ornamental Mace
1816,Unbalanced Axe
1817,Stock Shortsword
1818,Standard Claymore
1819,Gouging Pick
1820,Wooden Maul
1821,Warped Blade
1822,Cedar Walking Stick
1823,Bludgeoning Cudgel
1824,Shiny War Axe
1825,Bulky Bludgeon
1826,Rock Maul
1827,Meat Cleaver
1828,Stone War Axe
1829,Short Cutlass
1830,Long Bastard Sword
1831,Oaken War Staff
1835,Dirty Leather Belt
1836,Dirty Leather Bracers
1840,Rough Leather Bracers
1843,Tanned Leather Belt
1844,Tanned Leather Bracers
1846,Chainmail Bracers
1849,Cured Leather Belt
1850,Cured Leather Bracers
1925,Defias Rapier
1926,Weighted Sap
1927,Deadmines Cleaver
1928,Defias Mage Staff
1929,Silk-threaded Trousers
1930,Stonemason Cloak
1933,Staff of Conjuring
1934,Stonemason Trousers
1935,Assassin's Blade
1936,Goblin Screwdriver
1943,Goblin Mail Leggings
1944,Metalworking Gloves
1945,Woodworking Gloves
1951,Blackwater Cutlass
1958,Petrified Shinbone
1973,Orb of Deception
1974,Mindthrust Bracers
1975,Pysan's Old Greatsword
1976,Slaghammer
1978,Wolfclaw Gloves
1979,Wall of the Dead
1980,Underworld Band
1981,Icemail Jerkin
1982,Nightblade
1986,Gutrender
1988,Chief Brigadier Gauntlets
1990,Ballast Maul
1991,Goblin Power Shovel
1992,Swampchill Fetish
1993,Ogremind Ring
1994,Ebonclaw Reaver
1996,Voodoo Band
1997,Pressed Felt Robe
1998,Bloodscalp Channeling Staff
2011,Twisted Sabre
2015,Black Metal War Axe
2024,Espadon
2025,Bearded Axe
2027,Scimitar
2034,Scholarly Robes
2035,Sword of the Night Sky
2039,Plains Ring
2040,Troll Protector
2046,Bluegill Kukri
2059,Sentry Cloak
2070,Darnassian Bleu
2072,Dwarven Magestaff
2073,Dwarven Hatchet
2075,Priest's Mace
2077,Magician Staff
2078,Northern Shortsword
2079,Sergeant's Warhammer
2080,Hillborne Axe
2091,Magic Dust
2092,Worn Dagger
2098,Double-barreled Shotgun
2099,Dwarven Hand Cannon
2100,Precisely Calibrated Boomstick
2101,Light Quiver
2102,Small Ammo Pouch
2105,Thug Shirt
2117,Thin Cloth Shoes
2130,Club
2131,Shortsword
2132,Short Staff
2134,Hand Axe
2138,Sharpened Letter Opener
2139,Dirk
2140,Carving Knife
2141,Cuirboulli Vest
2143,Cuirboulli Boots
2156,Padded Boots
2158,Padded Gloves
2160,Padded Armor
2163,Shadowblade
2164,Gut Ripper
2194,Diamond Hammer
2204,Brashclaw's Skewer
2205,Duskbringer
2207,Jambiya
2208,Poniard
2210,Battered Buckler
2211,Bent Large Shield
2212,Cracked Buckler
2213,Worn Large Shield
2214,Wooden Buckler
2215,Wooden Shield
2216,Simple Buckler
2217,Rectangular Shield
2219,Small Round Shield
2220,Box Shield
2221,Targe Shield
2222,Tower Shield
2226,Ogremage Staff
2227,Heavy Ogre War Axe
2232,Dark Runner Boots
2234,Nightwalker Armor
2235,Brackclaw
2236,Blackfang
2243,Hand of Edward the Odd
2244,Krol Blade
2245,Helm of Narv
2246,Myrmidon's Signet
2251,Gooey Spider Leg
2256,Skeletal Club
2262,Mark of Kern
2264,Mantle of Thieves
2268,Stonesplinter Blade
2271,Staff of the Blessed Seer
2276,Swampwalker Boots
2277,Necromancer Leggings
2278,Forest Tracker Epaulets
2282,Rodentia Shortsword
2287,Haunch of Meat
2289,Scroll of Strength II
2290,Scroll of Intellect II
2291,Kang the Decapitator
2295,Large Boar Tusk
2296,Great Goretusk Snout
2299,Burning War Axe
2300,Embossed Leather Vest
2302,Handstitched Leather Boots
2303,Handstitched Leather Pants
2304,Light Armor Kit
2307,Fine Leather Boots
2308,Fine Leather Cloak
2309,Embossed Leather Boots
2310,Embossed Leather Cloak
2311,White Leather Jerkin
2312,Fine Leather Gloves
2313,Medium Armor Kit
2314,Toughened Leather Armor
2315,Dark Leather Boots
2316,Dark Leather Cloak
2317,Dark Leather Tunic
2318,Light Leather
2319,Medium Leather
2320,Coarse Thread
2321,Fine Thread
2324,Bleach
2325,Black Dye
2361,Battleworn Hammer
2362,Worn Wooden Shield
2364,Woven Vest
